mode,pattern,io_size_kib,threads,n,throughput_gibs_mean,throughput_gibs_std,throughput_gibs_min,throughput_gibs_max,avg_lat_us_mean,avg_lat_us_std,avg_lat_us_min,avg_lat_us_max,iops_mean,iops_std,iops_min,iops_max,active_cores_mean,active_cores_std,active_cores_min,active_cores_max,total_cpu_pct_mean,total_cpu_pct_std,total_cpu_pct_min,total_cpu_pct_max,gdsio_cpu_pct_mean,gdsio_cpu_pct_std,gdsio_cpu_pct_min,gdsio_cpu_pct_max,gdsio_usr_pct_mean,gdsio_usr_pct_std,gdsio_usr_pct_min,gdsio_usr_pct_max,gdsio_sys_pct_mean,gdsio_sys_pct_std,gdsio_sys_pct_min,gdsio_sys_pct_max,dram_read_mibs_mean,dram_read_mibs_std,dram_read_mibs_min,dram_read_mibs_max,dram_write_mibs_mean,dram_write_mibs_std,dram_write_mibs_min,dram_write_mibs_max,ssd_r_mbs_mean,ssd_r_mbs_std,ssd_r_mbs_min,ssd_r_mbs_max,ssd_w_mbs_mean,ssd_w_mbs_std,ssd_w_mbs_min,ssd_w_mbs_max,ssd_r_await_ms_mean,ssd_r_await_ms_std,ssd_r_await_ms_min,ssd_r_await_ms_max,ssd_w_await_ms_mean,ssd_w_await_ms_std,ssd_w_await_ms_min,ssd_w_await_ms_max,ssd_aqu_sz_mean,ssd_aqu_sz_std,ssd_aqu_sz_min,ssd_aqu_sz_max,ssd_util_pct_mean,ssd_util_pct_std,ssd_util_pct_min,ssd_util_pct_max
cpu,rand,4,1,3,0.2756173333333333,0.0154989780738387,0.257728,0.285006,13.870769,0.8060734590742956,13.384621,14.801229,72135.51388888889,3989.759026430227,67529.50833333333,74520.44166666667,0.0,0.0,0.0,0.0,107.36727777777776,0.4311666774041136,106.92016666666665,107.78049999999998,56.11963276836158,1.2603285930285975,54.665,56.885169491525424,42.6716384180791,0.6786564352598461,41.894745762711864,43.148983050847455,13.447909604519774,0.58912392738659,12.770169491525424,13.837457627118644,436.46381333333335,2.837575925844694,433.30728,438.80304,490.73712,139.2101392623397,409.91912,651.4823200000001,277.41182221137154,15.698127014389469,259.3014957682292,287.13275480143227,0.0,0.0,0.0,0.0,0.00986111111111111,4.8112522432468525e-05,0.009833333333333333,0.009916666666666666,0.0,0.0,0.0,0.0,0.44225000000000003,0.0106108565996237,0.4359166666666667,0.4545,42.16286111111111,1.1845522546437057,41.27908333333333,43.508833333333335
cpu,rand,4,2,3,0.483248,0.010384740102669881,0.471265,0.489625,15.792813666666667,0.34387467115845216,15.582132,16.189633,126258.00555555556,2624.096587628537,123231.21666666666,127893.03333333334,0.0,0.0,0.0,0.0,205.07025,0.8057798284546588,204.51308333333333,205.99416666666664,114.15443502824859,4.467226297102503,111.4822033898305,119.31161016949153,85.255,4.499635291965439,82.5777966101695,90.44991525423728,28.899435028248586,0.03551619322011351,28.861694915254237,28.93220338983051,867.7732,280.08582222544857,705.33904,1191.18736,1136.6326666666666,8.533699568307583,1130.87624,1146.43704,485.90562421332464,10.480771498455564,473.81223250325525,492.3510416666667,0.0,0.0,0.0,0.0,0.009944444444444445,9.622504486493805e-05,0.009833333333333333,0.01,0.0,0.0,0.0,0.0,0.85775,0.0443211136041403,0.8065833333333333,0.88425,74.40072222222223,5.303924848070667,69.05491666666667,79.66175
cpu,rand,4,4,3,0.8366526666666666,0.004380365547911881,0.832409,0.841158,18.244826,0.09305503211003592,18.146107,18.33093,218299.99722222224,1642.8848020481907,216533.81666666668,219782.69166666668,1.3333333333333333,2.309401076758503,0.0,4.0,398.77302777777777,1.7798846957296286,397.37216666666666,400.7758333333333,236.86237288135592,2.0838425441082435,234.5480508474576,238.5899152542373,165.08697740112993,3.2652522867200178,161.90186440677965,168.42686440677966,71.77545197740113,1.397803326343258,70.16313559322033,72.64627118644069,1578.7708266666666,75.18812862076906,1494.93656,1640.2357599999998,1695.4139466666668,186.61866031631175,1568.0862400000003,1909.6343200000001,841.9593649088541,4.149128170398504,837.6611737467448,845.9413350423177,0.0,0.0,0.0,0.0,0.010027777777777778,0.00012729376930432887,0.009916666666666666,0.010166666666666666,0.0,0.0,0.0,0.0,1.6154444444444445,0.01998633792628612,1.5981666666666667,1.6373333333333333,89.37561111111111,3.6720729181490612,86.56083333333332,93.52925
cpu,rand,4,8,3,1.4259613333333334,0.00796153008744767,1.416942,1.432012,21.407288333333334,0.11825701664735803,21.315744,21.540807,372542.53055555554,2151.176866555534,370090.35833333334,374111.69166666665,2.0,1.0,1.0,3.0,789.52375,4.184678936144454,784.8889166666667,793.0245,450.4885593220339,4.3734059015638325,447.8607627118644,455.5371186440678,302.61033898305084,4.124894050331215,299.6100847457627,307.3141525423729,147.87822033898306,0.6212708858827258,147.16101694915255,148.2506779661017,3112.43392,584.0739638940428,2765.7916,3786.7757600000004,3556.3992533333335,77.99976604733475,3466.69776,3608.2639200000003,1435.4104569498697,7.4872014871466295,1427.2092019042968,1441.8802083333333,0.0,0.0,0.0,0.0,0.01,8.33333333333337e-05,0.009916666666666666,0.010083333333333333,0.0,0.0,0.0,0.0,3.3520555555555553,0.04232023528780086,3.30325,3.3785833333333333,95.96638888888889,0.07901478120040488,95.88366666666667,96.04108333333333
cpu,rand,4,16,3,1.994216,0.006438485769185119,1.986971,1.999283,30.610744333333333,0.09852009749453979,30.53513,30.722159,521439.4888888889,2503.6101438491078,518550.00833333336,522963.225,12.333333333333334,1.5275252316519468,11.0,14.0,1406.3869722222223,4.620104545273872,1401.0604166666667,1409.3075833333335,874.7806779661017,0.6816890997568801,874.3813559322034,875.5677966101695,541.0160734463277,4.793427794048597,535.5736440677966,544.6101694915254,333.76457627118646,4.616384964532786,329.771186440678,338.81915254237293,7230.989813333334,519.321996601361,6920.42416,7830.521519999999,6767.553226666667,67.62115894442854,6705.336480000001,6839.52024,2008.3142406141494,8.23753848847869,1998.9020833333334,2014.2100721028646,0.0,0.0,0.0,0.0,0.010083333333333333,8.333333333333283e-05,0.01,0.010166666666666666,0.0,0.0,0.0,0.0,5.396527777777778,0.02896170044373466,5.363666666666666,5.418333333333334,101.70280555555556,3.2825130958667925,97.93916666666668,103.97341666666667
cpu,rand,4,32,3,2.4690703333333333,0.03183210306174153,2.445131,2.505195,49.449933333333334,0.6360520166655674,48.72909,49.932219,645249.6527777778,10072.048351344842,637156.0,656529.4416666667,24.0,0.0,24.0,24.0,2266.18275,27.995568483144712,2244.89475,2297.8949166666666,1448.7156214689264,10.047303050806903,1440.5169491525423,1459.9237288135594,797.5861016949152,6.334535492230466,793.317627118644,804.8644067796611,651.1295197740113,4.687888954146026,645.9406779661017,655.0593220338983,10960.541626666667,393.2104742113142,10506.55896,11193.8004,9817.423386666667,227.44562338658244,9682.64816,10080.02432,2486.961480034722,31.814001280285048,2463.300716145833,2523.1281901041666,0.0,0.0,0.0,0.0,0.01011111111111111,4.8112522432468525e-05,0.010083333333333333,0.010166666666666666,0.0,0.0,0.0,0.0,8.527972222222221,0.18963827653173312,8.380583333333332,8.741916666666667,104.06777777777778,0.24711717493559554,103.8125,104.30583333333334
cpu,rand,8,16,3,3.8756209999999998,0.044981999944422306,3.839434,3.925983,31.504589333333335,0.3666501589108246,31.094232,31.799976,507260.27222222224,5468.269997133549,503028.1583333333,513434.51666666666,11.333333333333334,0.5773502691896257,11.0,12.0,1465.8829722222224,4.479938467872552,1460.8245833333337,1469.3499166666668,870.9389265536723,6.294316187583142,863.8305084745763,875.8050847457627,558.2867514124293,9.019422011945657,550.1907627118644,568.0084745762712,312.65214689265537,8.958626078918067,307.1694915254237,322.99033898305083,10072.628533333333,1082.8029947452824,8825.54752,10773.976719999999,9668.92968,214.11522747812666,9443.991039999999,9870.26568,3903.617514105903,44.21148676500616,3868.090042317708,3953.130338541667,0.0,0.0,0.0,0.0,0.01011111111111111,4.8112522432468525e-05,0.010083333333333333,0.010166666666666666,0.0,0.0,0.0,0.0,5.989916666666666,0.08946519341807363,5.917,6.0897499999999996,98.20530555555557,0.020236506707032587,98.18341666666667,98.22333333333334
cpu,rand,16,16,3,6.7191643333333335,0.016620843821338747,6.708291,6.738297,36.338456,0.09255058283987197,36.231884,36.398628,439637.8416666667,713.8807192517767,439102.39166666666,440448.3333333333,16.333333333333332,0.5773502691896257,16.0,17.0,1555.3500277777775,2.0176401168700857,1553.1334166666666,1557.0794999999998,794.54802259887,3.616950079159446,791.9915254237288,798.6864406779661,571.2627118644068,10.23313068011109,561.2796610169491,581.728813559322,223.28531073446328,10.527737720654438,211.23728813559322,230.71186440677965,12749.612533333335,2082.0996030312713,10351.799120000001,14100.199440000002,13015.82832,399.4713925986319,12603.865280000002,13401.51024,6767.719894802517,17.114464166722822,6756.1099448242185,6787.374479166667,0.0,0.0,0.0,0.0,0.01991666666666667,0.0,0.01991666666666667,0.01991666666666667,0.0,0.0,0.0,0.0,7.937444444444444,0.04873356798089108,7.8814166666666665,7.97,100.12280555555556,3.020728872140213,98.37175,103.61083333333333
cpu,rand,32,16,3,6.905088666666667,0.00048423272641703966,6.90453,6.905388,70.713098,0.004951994446689235,70.710033,70.718811,225868.60555555555,204.79592083294241,225657.95833333334,226067.0,15.333333333333334,0.5773502691896257,15.0,16.0,1585.5498055555554,0.5746477806093423,1584.915,1586.0345,346.23728813559325,0.35964568091393423,345.8220338983051,346.4491525423729,239.42090395480227,1.854854832663127,238.16101694915255,241.55084745762713,106.81638418079096,1.7359509805177429,104.89830508474576,108.27966101694915,2472.1745866666665,2588.805927408923,959.4139200000001,5461.39672,3083.80696,3859.003911563149,837.95688,7539.75304,6955.556076388889,0.7572101850607103,6954.697135416666,6956.127083333334,0.0,0.0,0.0,0.0,0.057999999999999996,0.00046398036356916665,0.057583333333333334,0.058499999999999996,0.0,0.0,0.0,0.0,12.4585,0.013094475085995927,12.447750000000001,12.473083333333333,98.36975,0.01391117656178781,98.35416666666667,98.38091666666666
cpu,rand,64,16,3,6.9214953333333336,0.000668518760644319,6.92075,6.922042,141.09097366666666,0.013620052581875328,141.07981,141.106149,113084.43333333333,43.593520957184055,113034.1,113110.15833333334,15.333333333333334,0.5773502691896257,15.0,16.0,1413.5445277777778,36.990519226152685,1385.12825,1455.3694166666667,187.4016384180791,0.8361218174253336,186.73728813559322,188.34050847457627,130.7760451977401,1.1831997542795785,129.53389830508473,131.88983050847457,56.625593220338985,1.2079246496396732,55.23728813559322,57.43610169491525,3675.5582133333332,2750.3010128744086,499.79448,5270.45392,5034.564799999999,3730.265608620903,727.3855999999998,7220.35712,6971.5717184244795,2.4529154347244138,6968.7640625,6973.298958333334,0.0,0.0,0.0,0.0,0.12594444444444444,0.0006735753140545533,0.12516666666666668,0.12633333333333333,0.0,0.0,0.0,0.0,13.969666666666667,0.0053196438895021314,13.965083333333332,13.9755,100.38147222222223,3.471493861051004,98.37025,104.39
